TreeID,Date,Plot,Treatment,Species,midday_leaf_wc,TOD,tot_water_cont,water_pot,max_photo,stom_cond,Precip_mm,pulse_precip,Aspect_deg,Slope_deg,pulse,week
121,2020-06-29,12,45,pinon,63.125,Predawn,NA,NA,NA,NA,0,0,83,8,0,26
121,2020-06-29,12,45,pinon,63.125,Midday,49.06,NA,NA,NA,0,0,83,8,0,26
122,2020-06-29,12,45,pinon,63.85026738,Predawn,NA,NA,NA,NA,0,0,83,8,0,26
122,2020-06-29,12,45,pinon,63.85026738,Midday,51.55,NA,NA,NA,0,0,83,8,0,26
123,2020-06-29,12,45,pinon,66.62153013,Predawn,NA,NA,NA,NA,0,0,83,8,0,26
123,2020-06-29,12,45,pinon,66.62153013,Midday,51.86,NA,NA,NA,0,0,83,8,0,26
125,2020-06-29,12,45,pinon,65.34090909,Predawn,NA,NA,NA,NA,0,0,83,8,0,26
125,2020-06-29,12,45,pinon,65.34090909,Midday,51.89,NA,NA,NA,0,0,83,8,0,26
151,2020-06-29,15,75,pinon,59.14396887,Predawn,NA,NA,NA,NA,0,0,123,7,0,26
151,2020-06-29,15,75,pinon,59.14396887,Midday,49.42,NA,NA,NA,0,0,123,7,0,26
152,2020-06-29,15,75,pinon,68.94736842,Predawn,NA,NA,NA,NA,0,0,123,7,0,26
152,2020-06-29,15,75,pinon,68.94736842,Midday,52.63,NA,NA,NA,0,0,123,7,0,26
154,2020-06-29,15,75,pinon,64.3129771,Predawn,NA,NA,NA,NA,0,0,123,7,0,26
154,2020-06-29,15,75,pinon,64.3129771,Midday,51.91,NA,NA,NA,0,0,123,7,0,26
155,2020-06-29,15,75,pinon,62.06896552,Predawn,NA,NA,NA,NA,0,0,123,7,0,26
155,2020-06-29,15,75,pinon,62.06896552,Midday,50,NA,NA,NA,0,0,123,7,0,26
166,2020-06-29,16,0,pinon,64.56456456,Predawn,NA,NA,NA,NA,0,0,105,9,0,26
166,2020-06-29,16,0,pinon,64.56456456,Midday,51.95,NA,NA,NA,0,0,105,9,0,26
168,2020-06-29,16,0,pinon,61.69491525,Predawn,NA,NA,NA,NA,0,0,105,9,0,26
168,2020-06-29,16,0,pinon,61.69491525,Midday,51.53,NA,NA,NA,0,0,105,9,0,26
169,2020-06-29,16,0,pinon,65.48042705,Predawn,NA,NA,NA,NA,0,0,105,9,0,26
169,2020-06-29,16,0,pinon,65.48042705,Midday,51.6,NA,NA,NA,0,0,105,9,0,26
175,2020-06-29,17,90,pinon,60.78431373,Predawn,NA,NA,NA,NA,0,0,89,10,0,26
175,2020-06-29,17,90,pinon,60.78431373,Midday,50.45,NA,NA,NA,0,0,89,10,0,26
176,2020-06-29,17,90,pinon,58.72340426,Predawn,NA,NA,NA,NA,0,0,89,10,0,26
176,2020-06-29,17,90,pinon,58.72340426,Midday,49.36,NA,NA,NA,0,0,89,10,0,26
179,2020-06-29,17,90,pinon,61.1409396,Predawn,NA,NA,NA,NA,0,0,89,10,0,26
179,2020-06-29,17,90,pinon,61.1409396,Midday,49.93,NA,NA,NA,0,0,89,10,0,26
